 ,10MKC01DE502XQ01,10MBY10CE901XQ01,10MKG18FP001ZQ01,10MKW31CP901XQ01,10MKW31CP902XQ01,10MKW31CP903XQ01,10MKG31CQ001AZQ01,10MKG32CQ001AZQ01
,REACTIVE POWER,ACTIVE POWER,PRES H2 GEN CASING,DIFFPRES SEAL OIL/H2,DIFFPRES SEAL OIL/H2,DIFFPRES SEAL OIL/H2,PURITY H2 ANALYZER 1,PURITY H2 ANALYZER 2
Date Time,Mvar,MW,bar,bar,bar,bar,% H2,% H2
9/5/2021 3:21:00 AM,11.38263,621.1458,4.036831,1.169673,1.175822,1.175822,96.36646,96.23625
9/5/2021 3:22:00 AM,-0.04534912,625.0521,4.036831,1.174375,1.173652,1.182694,96.36646,96.23625
9/5/2021 3:23:00 AM,3.265137,621.25,4.036831,1.175098,1.175098,1.172205,96.36646,96.23625
9/5/2021 3:24:00 AM,0.04534912,624.8438,4.036831,1.172567,1.172566,1.176907,96.36646,96.23625
9/5/2021 3:25:00 AM,12.01752,623.3333,4.036831,1.167865,1.168588,1.17112,96.36646,96.23625
9/5/2021 3:26:00 AM,11.74542,623.8541,4.036831,1.175822,1.17763,1.173652,96.36646,96.23625
9/5/2021 3:27:00 AM,14.51172,623.9583,4.036831,1.166057,1.164248,1.173652,96.36646,96.23625
9/5/2021 3:28:00 AM,14.01288,623.9583,4.036831,1.16895,1.174375,1.180162,96.36646,96.23625
9/5/2021 3:29:00 AM,8.933777,625.9896,4.036831,1.17329,1.174013,1.17546,96.36646,96.23625
9/5/2021 3:30:00 AM,8.661682,620.0521,4.036831,1.167503,1.16895,1.169312,96.36646,96.23625
9/5/2021 3:31:00 AM,23.2641,622.9688,4.036831,1.167503,1.16895,1.169312,96.36646,96.23625
9/5/2021 3:32:00 AM,20.13501,626.5104,4.036831,1.165333,1.174736,1.17546,96.36646,96.23625
9/5/2021 3:33:00 AM,18.77454,624.375,4.036831,1.170758,1.171482,1.17546,96.36646,96.23625
9/5/2021 3:34:00 AM,9.432617,624.4271,4.036831,1.175098,1.175098,1.17546,96.36646,96.23481
